Ref,Val,Package,PosX,PosY,Rot,Side
"L1","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-101.937686,-151.973374,0.000000,bottom
"L2","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-113.737686,-151.973374,0.000000,bottom
"L3","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-125.537686,-151.973374,0.000000,bottom
"L4","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-137.337686,-151.973374,0.000000,bottom
"L5","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-149.137686,-151.973374,0.000000,bottom
"L6","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-160.937686,-151.973374,0.000000,bottom
"L7","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-172.737686,-151.973374,0.000000,bottom
"L8","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-172.737686,-43.973374,180.000000,bottom
"L9","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-160.937686,-43.973374,180.000000,bottom
"L10","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-149.137686,-43.973374,180.000000,bottom
"L11","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-137.337686,-43.973374,180.000000,bottom
"L12","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-125.537686,-43.973374,180.000000,bottom
"L13","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-113.737686,-43.973374,180.000000,bottom
"L14","SK_6812_SIDE-A_RVS","SK6812SIDE-A-RVS",-101.937686,-43.973374,180.000000,bottom
